Dissolved_Oxygen,Temperature,pH,Plant_Type
8,25,7.2,"Hot, Neutral Pond with High Oxygen"
8,25,7.2,"Hot, Neutral Pond with High Oxygen"
8,25,7.2,"Hot, Neutral Pond with High Oxygen"
8,25,7.2,"Hot, Neutral Pond with High Oxygen"
8,25,7.2,"Hot, Neutral Pond with High Oxygen"
5,15,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3,17,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
2,16,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4,19,7.8,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4.3,19,7.8,"Temperate, Slightly Alkaline Lake with Low Oxygen"
7,14.5,5.9,"Cool, Acidic River with Moderate Oxygen"
7,13.5,5.7,"Cool, Acidic River with Moderate Oxygen"
5,22,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
6,28,6.7,"Tropical, Neutral Lake with Moderate Oxygen"
10,11,7.3,"Cool, Neutral Stream with High Oxygen"
12,13,6,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
12,14,7.5,"Cool, Neutral Stream with High Oxygen"
12,14,7,"Cool, Neutral Stream with High Oxygen"
12,13,6,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
2.8,18.5,7.2,"Temperate, Slightly Alkaline Lake with Low Oxygen"
2.8,16,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
12,10,7.5,"Cool, Neutral Stream with High Oxygen"
5.5,23,7.3,"Tropical, Neutral Lake with Moderate Oxygen"
4,11,7.3,"Temperate, Slightly Alkaline Lake with Low Oxygen"
9,14.5,7.4,"Cool, Neutral Stream with High Oxygen"
4,25,7.8,"Warm, Slightly Alkaline Lake with Low Oxygen"
4.5,24,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
4.8,10,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4.8,25,6.8,"Tropical, Neutral Lake with Moderate Oxygen"
8,13,7,"Cool, Neutral Stream with High Oxygen"
9.5,13.2,7.3,"Cool, Neutral Stream with High Oxygen"
8.7,10,7.1,"Cool, Neutral Stream with High Oxygen"
9.5,13.3,7.3,"Cool, Neutral Stream with High Oxygen"
9.8,10,7.5,"Cool, Neutral Stream with High Oxygen"
9,13.9,7.4,"Cool, Neutral Stream with High Oxygen"
9.7,13.4,7.4,"Cool, Neutral Stream with High Oxygen"
5,30,7,"Tropical, Neutral Lake with Moderate Oxygen"
5,24,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
7,30,7,"Tropical, Neutral Lake with Moderate Oxygen"
5,27,7,"Tropical, Neutral Lake with Moderate Oxygen"
5,16,7.7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
6,27,6.4,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
2,26,7.8,"Warm, Slightly Alkaline Lake with Low Oxygen"
5,24,7.3,"Tropical, Neutral Lake with Moderate Oxygen"
4,27.3,6.2,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
1.4,5,8.1,"Cold, Alkaline Stream with Very Low Oxygen"
5,23.3,7,"Tropical, Neutral Lake with Moderate Oxygen"
4.2,18,7.4,"Temperate, Slightly Alkaline Lake with Low Oxygen"
9.8,15,7.2,"Cool, Neutral Stream with High Oxygen"
3.3,18,7.2,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4,18,7.8,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4.1,20,7.6,"Temperate, Slightly Alkaline Lake with Low Oxygen"
7.5,22,7.2,"Hot, Neutral Pond with High Oxygen"
5.8,26,7.1,"Tropical, Neutral Lake with Moderate Oxygen"
3.8,28,7.5,"Warm, Slightly Alkaline Lake with Low Oxygen"
4.9,16,7.1,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3.7,26,7.5,"Warm, Slightly Alkaline Lake with Low Oxygen"
6.8,28,6.7,"Tropical, Neutral Lake with Moderate Oxygen"
6,22,6.1,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
7,30,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
6,30,7.3,"Tropical, Neutral Lake with Moderate Oxygen"
6,26.4,6.4,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
3.5,24.5,6.5,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
5.5,26.5,6,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
7,29,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
7,29,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
6.3,25,7,"Tropical, Neutral Lake with Moderate Oxygen"
5,14,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
5.8,23,7,"Tropical, Neutral Lake with Moderate Oxygen"
5,15.3,7.7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
5.2,24.8,6.5,"Tropical, Neutral Lake with Moderate Oxygen"
10,15,7,"Cool, Neutral Stream with High Oxygen"
10,20.5,7,"Hot, Neutral Pond with High Oxygen"
6,22,7,"Tropical, Neutral Lake with Moderate Oxygen"
10.1,12,7.3,"Cool, Neutral Stream with High Oxygen"
9.5,11.7,7.3,"Cool, Neutral Stream with High Oxygen"
3.3,12.9,7.4,"Temperate, Slightly Alkaline Lake with Low Oxygen"
10.3,12.3,6.8,"Cool, Neutral Stream with High Oxygen"
10.3,12.5,7.2,"Cool, Neutral Stream with High Oxygen"
7,27,7,"Tropical, Neutral Lake with Moderate Oxygen"
8,27,7,"Hot, Neutral Pond with High Oxygen"
4,29,7,"Tropical, Neutral Lake with Moderate Oxygen"
7,24,7,"Tropical, Neutral Lake with Moderate Oxygen"
6,29,7,"Tropical, Neutral Lake with Moderate Oxygen"
7,27,7,"Tropical, Neutral Lake with Moderate Oxygen"
5,29,7,"Tropical, Neutral Lake with Moderate Oxygen"
7,27,7,"Tropical, Neutral Lake with Moderate Oxygen"
7,26,7,"Tropical, Neutral Lake with Moderate Oxygen"
8,29,7,"Hot, Neutral Pond with High Oxygen"
8,29,7,"Hot, Neutral Pond with High Oxygen"
7,28,7,"Tropical, Neutral Lake with Moderate Oxygen"
7,25,7,"Tropical, Neutral Lake with Moderate Oxygen"
6.5,29,6.5,"Tropical, Neutral Lake with Moderate Oxygen"
5,27,6,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
5,28,6.5,"Tropical, Neutral Lake with Moderate Oxygen"
6.5,29,6.5,"Tropical, Neutral Lake with Moderate Oxygen"
5,28,6.5,"Tropical, Neutral Lake with Moderate Oxygen"
6.5,28,6.5,"Tropical, Neutral Lake with Moderate Oxygen"
5,29,6.5,"Tropical, Neutral Lake with Moderate Oxygen"
5,27,6,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
5,29,6.5,"Tropical, Neutral Lake with Moderate Oxygen"
6.5,28,6.5,"Tropical, Neutral Lake with Moderate Oxygen"
11.4,18.8,6.5,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
8,30,7,"Hot, Neutral Pond with High Oxygen"
8,30,7,"Hot, Neutral Pond with High Oxygen"
8,30,7,"Hot, Neutral Pond with High Oxygen"
6,29.3,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
5.5,22,7,"Tropical, Neutral Lake with Moderate Oxygen"
5.5,22,7,"Tropical, Neutral Lake with Moderate Oxygen"
5.5,22,7,"Tropical, Neutral Lake with Moderate Oxygen"
5.5,22,7,"Tropical, Neutral Lake with Moderate Oxygen"
5.5,22,7,"Tropical, Neutral Lake with Moderate Oxygen"
5.5,22,7,"Tropical, Neutral Lake with Moderate Oxygen"
9.4,30,6.9,"Hot, Neutral Pond with High Oxygen"
8.4,24.2,6.8,"Hot, Neutral Pond with High Oxygen"
11.6,10,7,"Cool, Neutral Stream with High Oxygen"
8.5,14.8,7,"Cool, Neutral Stream with High Oxygen"
9,11.6,7,"Cool, Neutral Stream with High Oxygen"
9.9,15,7.5,"Cool, Neutral Stream with High Oxygen"
9.6,13.8,7.3,"Cool, Neutral Stream with High Oxygen"
8.7,14,7.4,"Cool, Neutral Stream with High Oxygen"
4.2,26,7.5,"Warm, Slightly Alkaline Lake with Low Oxygen"
8,22,7,"Hot, Neutral Pond with High Oxygen"
5,15,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
2.4,18,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
5,20,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
7.2,22,7,"Hot, Neutral Pond with High Oxygen"
3.8,15,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
6.6,22,7,"Tropical, Neutral Lake with Moderate Oxygen"
4.6,22,7,"Tropical, Neutral Lake with Moderate Oxygen"
5,14,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3.8,16,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
5,14,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4.6,20,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4.8,12,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
2,19,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4,22,7,"Tropical, Neutral Lake with Moderate Oxygen"
10,10.3,7,"Cool, Neutral Stream with High Oxygen"
7,22.8,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
8,13.1,7.5,"Cool, Neutral Stream with High Oxygen"
8.2,14.8,7.3,"Cool, Neutral Stream with High Oxygen"
8.4,22.6,7.2,"Hot, Neutral Pond with High Oxygen"
12,13.5,7.3,"Cool, Neutral Stream with High Oxygen"
10,21.3,6.9,"Hot, Neutral Pond with High Oxygen"
4.5,19,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
2.1,13,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
11,10,7,"Cool, Neutral Stream with High Oxygen"
9.5,10.5,7,"Cool, Neutral Stream with High Oxygen"
2.1,12.5,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
2.5,10,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
2.8,17,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4,16.1,7.8,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3.8,11,7.8,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3.5,15,7.6,"Temperate, Slightly Alkaline Lake with Low Oxygen"
2,14,7.1,"Temperate, Slightly Alkaline Lake with Low Oxygen"
8.2,20,7,"Hot, Neutral Pond with High Oxygen"
4.5,12,7.7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
5,19.9,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3.8,12,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
5.4,27,7,"Tropical, Neutral Lake with Moderate Oxygen"
4.8,26,6.6,"Tropical, Neutral Lake with Moderate Oxygen"
4.4,25,6.1,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
4,27,6,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
4,26,6.9,"Tropical, Neutral Lake with Moderate Oxygen"
4.4,27,7.4,"Tropical, Neutral Lake with Moderate Oxygen"
7,9,6,"Cool, Acidic River with Moderate Oxygen"
12,15,6,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
6,7.5,7,"Cold, Neutral River with Moderate Oxygen"
8,14,7,"Cool, Neutral Stream with High Oxygen"
4.7,25.7,8,"Warm, Slightly Alkaline Lake with Low Oxygen"
5,18,7.8,"Temperate, Slightly Alkaline Lake with Low Oxygen"
10,13,6.8,"Cool, Neutral Stream with High Oxygen"
2,11,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
10,12,7,"Cool, Neutral Stream with High Oxygen"
8,11,6.9,"Cool, Neutral Stream with High Oxygen"
4,16,7.4,"Temperate, Slightly Alkaline Lake with Low Oxygen"
5,8,7,"Cold, Neutral River with Moderate Oxygen"
4.7,11.7,7.4,"Temperate, Slightly Alkaline Lake with Low Oxygen"
8,15,7.5,"Cool, Neutral Stream with High Oxygen"
8.3,10,7.3,"Cool, Neutral Stream with High Oxygen"
6.7,26.7,7.1,"Tropical, Neutral Lake with Moderate Oxygen"
12,10,6.9,"Cool, Neutral Stream with High Oxygen"
5.7,7.7,7,"Cold, Neutral River with Moderate Oxygen"
12,10,6.8,"Cool, Neutral Stream with High Oxygen"
8,11,6.9,"Cool, Neutral Stream with High Oxygen"
3.7,10.3,7.3,"Temperate, Slightly Alkaline Lake with Low Oxygen"
6,6,6.9,"Cold, Neutral River with Moderate Oxygen"
6,8.7,7,"Cold, Neutral River with Moderate Oxygen"
8.7,11,7.3,"Cool, Neutral Stream with High Oxygen"
7,23,7,"Tropical, Neutral Lake with Moderate Oxygen"
12,16,6,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
5,20,6.5,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
4,29,6,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
5.6,26.5,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
5.5,26.7,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
5.6,26.7,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
5.4,26.7,7.1,"Tropical, Neutral Lake with Moderate Oxygen"
6.1,27.1,6.5,"Tropical, Neutral Lake with Moderate Oxygen"
8,14,7.2,"Cool, Neutral Stream with High Oxygen"
8.7,10,7.4,"Cool, Neutral Stream with High Oxygen"
9.5,15,7.5,"Cool, Neutral Stream with High Oxygen"
8.7,10,7.4,"Cool, Neutral Stream with High Oxygen"
6.5,7,7,"Cold, Neutral River with Moderate Oxygen"
4.9,20,7.2,"Temperate, Slightly Alkaline Lake with Low Oxygen"
8.8,14,7.3,"Cool, Neutral Stream with High Oxygen"
7.5,23.6,6.9,"Hot, Neutral Pond with High Oxygen"
7,22,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
4.5,25,7.8,"Warm, Slightly Alkaline Lake with Low Oxygen"
8.4,25.8,7.1,"Hot, Neutral Pond with High Oxygen"
6,24,7.2,"Tropical, Neutral Lake with Moderate Oxygen"
6.7,29,6.7,"Tropical, Neutral Lake with Moderate Oxygen"
10,24,7,"Hot, Neutral Pond with High Oxygen"
9,12,7.2,"Cool, Neutral Stream with High Oxygen"
11.9,13.4,7.1,"Cool, Neutral Stream with High Oxygen"
6,23,6,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
4,19,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
1.9,7.2,8.5,"Cold, Alkaline Stream with Very Low Oxygen"
5,10,6,"Cool, Acidic River with Moderate Oxygen"
13.6,11,6,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
6,21,6,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
12,17.7,6.4,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
10,21,7,"Hot, Neutral Pond with High Oxygen"
3.5,17,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3.5,16,7.8,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4,18,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4,17,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
5,20,7.6,"Temperate, Slightly Alkaline Lake with Low Oxygen"
11,10.5,7.3,"Cool, Neutral Stream with High Oxygen"
3.6,14,7.1,"Temperate, Slightly Alkaline Lake with Low Oxygen"
5,14.3,7.3,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3.2,15,7.8,"Temperate, Slightly Alkaline Lake with Low Oxygen"
6.2,13,5.6,"Cool, Acidic River with Moderate Oxygen"
2.4,16,7.2,"Temperate, Slightly Alkaline Lake with Low Oxygen"
6.2,13,6,"Cool, Acidic River with Moderate Oxygen"
6.1,15,6,"Cool, Acidic River with Moderate Oxygen"
6.1,15,6,"Cool, Acidic River with Moderate Oxygen"
8,14,7,"Cool, Neutral Stream with High Oxygen"
5.4,12,5.8,"Cool, Acidic River with Moderate Oxygen"
6.2,13,6,"Cool, Acidic River with Moderate Oxygen"
6,25,6,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
6,11,5.5,"Cool, Acidic River with Moderate Oxygen"
2,17,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4,16.7,7.2,"Temperate, Slightly Alkaline Lake with Low Oxygen"
10,12,7.5,"Cool, Neutral Stream with High Oxygen"
10,14.9,6.8,"Cool, Neutral Stream with High Oxygen"
5,22.4,7.2,"Tropical, Neutral Lake with Moderate Oxygen"
7,22,7.2,"Tropical, Neutral Lake with Moderate Oxygen"
8.5,13.8,7.2,"Cool, Neutral Stream with High Oxygen"
11.5,17.5,6.1,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
7.8,24,6.9,"Hot, Neutral Pond with High Oxygen"
4.6,22,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
7.8,25,6.8,"Hot, Neutral Pond with High Oxygen"
7.8,24,6.9,"Hot, Neutral Pond with High Oxygen"
10.2,12,7.5,"Cool, Neutral Stream with High Oxygen"
3.3,27,7.8,"Warm, Slightly Alkaline Lake with Low Oxygen"
1.3,28,7.6,"Warm, Slightly Alkaline Lake with Low Oxygen"
1.9,26,7.7,"Warm, Slightly Alkaline Lake with Low Oxygen"
9,10,7,"Cool, Neutral Stream with High Oxygen"
2.4,17,7.8,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4,18,7.6,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4,15.3,7.6,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4.5,18.7,7.6,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4,17,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4,14.5,7.2,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4,19.5,7.6,"Temperate, Slightly Alkaline Lake with Low Oxygen"
6,21,6.2,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
4,19,7.8,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4,17,7.2,"Temperate, Slightly Alkaline Lake with Low Oxygen"
2,16,7.6,"Temperate, Slightly Alkaline Lake with Low Oxygen"
5,18,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
5,19,7.1,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4,18,7.6,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4,17,7.6,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3.5,21,6.2,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
5,18,7.6,"Temperate, Slightly Alkaline Lake with Low Oxygen"
6.4,29,7,"Tropical, Neutral Lake with Moderate Oxygen"
7.6,28,7,"Hot, Neutral Pond with High Oxygen"
6.2,29,7,"Tropical, Neutral Lake with Moderate Oxygen"
5,24,7,"Tropical, Neutral Lake with Moderate Oxygen"
9,15,7,"Cool, Neutral Stream with High Oxygen"
7.5,25,7,"Hot, Neutral Pond with High Oxygen"
6.6,27,7,"Tropical, Neutral Lake with Moderate Oxygen"
6,27,7,"Tropical, Neutral Lake with Moderate Oxygen"
7.4,25,7.2,"Hot, Neutral Pond with High Oxygen"
8,21,7,"Hot, Neutral Pond with High Oxygen"
4,25,7,"Tropical, Neutral Lake with Moderate Oxygen"
9,10,7,"Cool, Neutral Stream with High Oxygen"
10,14,7,"Cool, Neutral Stream with High Oxygen"
8.6,14,7,"Cool, Neutral Stream with High Oxygen"
9,14,7,"Cool, Neutral Stream with High Oxygen"
7,15,6,"Cool, Acidic River with Moderate Oxygen"
7,14,6,"Cool, Acidic River with Moderate Oxygen"
7,14,6,"Cool, Acidic River with Moderate Oxygen"
3,17,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
5.7,11.3,6,"Cool, Acidic River with Moderate Oxygen"
3,15,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
8,22,7,"Hot, Neutral Pond with High Oxygen"
9.2,15,7.2,"Cool, Neutral Stream with High Oxygen"
9.6,11.3,7.5,"Cool, Neutral Stream with High Oxygen"
10.2,10.9,7.1,"Cool, Neutral Stream with High Oxygen"
10.5,11.7,7,"Cool, Neutral Stream with High Oxygen"
5,19,7.3,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4.3,15,7.4,"Temperate, Slightly Alkaline Lake with Low Oxygen"
9.6,12.2,6.8,"Cool, Neutral Stream with High Oxygen"
10,15,7.4,"Cool, Neutral Stream with High Oxygen"
10.1,11.7,7,"Cool, Neutral Stream with High Oxygen"
8,14,7,"Cool, Neutral Stream with High Oxygen"
10.4,11.7,7,"Cool, Neutral Stream with High Oxygen"
8,21,7,"Hot, Neutral Pond with High Oxygen"
8,15,7,"Cool, Neutral Stream with High Oxygen"
7,10,6.7,"Cold, Neutral River with Moderate Oxygen"
6.3,7,7.1,"Cold, Neutral River with Moderate Oxygen"
5.4,8,7.1,"Cold, Neutral River with Moderate Oxygen"
6.3,6,7.1,"Cold, Neutral River with Moderate Oxygen"
4.4,12,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
6.3,10,6.5,"Cold, Neutral River with Moderate Oxygen"
6.3,9,7.2,"Cold, Neutral River with Moderate Oxygen"
5.6,10,6.6,"Cold, Neutral River with Moderate Oxygen"
8.5,10,7.2,"Cool, Neutral Stream with High Oxygen"
9.6,11,7.5,"Cool, Neutral Stream with High Oxygen"
