pH,Humidity,Air Temp
7.2,15,27.1
7.4,18,33.8
7.6,18,28.1
7.3,15,30
7.9,20,32.3
7.7,28,30.7
7.8,28,36.2
8.4,28,17.2
8.4,28,16.5
4.1,28,27
4.3,28,28
4,28,32
4.9,28,32
7.7,28,37
8,28,30.6
7.2,28,31.1
6.1,28,30.6
6.8,28,23.2
6.4,28,22.8
5.7,71,24.7
5.7,71,24
5.7,28,21.5
7.9,71,27.8
6,28,34.6
6,28,33.1
7.3,28,34.4
7.8,28,26
7.5,28,24.6
7.2,28,23
7.3,28,23.8
7.5,28,23.8
6.7,28,25.6
7,28,25.5
8,28,31.6
6,28,33.1
7,28,33
8,28,22.8
7.3,28,31.6
8,28,21.1
8,28,32.3
7.5,28,32.3
7.5,28,32.3
7.5,28,27.4
7.3,28,36.6
5.8,28,35.6
7,28,35.6
5.8,28,25
5.8,28,31.9
5.8,28,34.9
6,28,26.1
5,28,20.9
9,28,23
7.9,28,23
6.9,28,21
11.3,28,23
8.4,28,21
8.4,28,23
8.3,28,22.2
6.7,28,36.6
5.2,28,38.6
6.7,28,36.1
7.1,28,27
6.7,28,27
6.7,28,26
6.7,28,26
4.8,20,24
4.8,31,25
6,28,26
5,25,25
6.3,28,26
7,28,25
7.1,20,26
6.5,22,26
7.1,28,25
7.1,28,28
7,28,24
8.3,28,25
3,28,28
6.5,28,24
5.7,15,24
11.3,15,25
5.5,28,28
5,30,26
3,28,25
6.5,28,24
6.9,28,24
6.4,28,28
6.8,23,24
8.3,29,24
8.5,28,27
6.8,28,27
6.6,28,26
4.4,28,28
5.6,28,28
6.1,28,27
5.8,28,24
7,32,23
7,28,24
5,28,23
6.3,28,29
5.8,25,25
6,30,25
7.5,28,25
7.4,28,25
7.5,23,23
5.5,28,24
7,30,26
7,30,23
7.8,30,23
8.2,28,24
7.9,28,25
8.3,15,22
8.5,28,24
8.5,19,25
5,28,26
7,28,24
6,15,20
7.7,12,22
7,28,22
7,31,22
7.3,28,22
7,28,22
7.3,30,23
7,15,22
7.4,30,24
5.5,30,24
5,28,24
5,28,24
5,28,24
5,28,22
5,30,23
5,36,23
5,28,23
5,30,22
7,30,22
6.4,28,25
8.1,28,23
8.2,30,23
8.1,30,23
7.7,28,23
7.4,30,23
6,28,23
6.5,28,23
7,20,22
7,28,22
4.5,28,21
4.6,28,21
4.6,20,22
5.6,20,23
7,28,24
6,20,21
6.5,20,34.9
5.9,28,33.1
4.8,20,23.4
4.6,28,21.1
7,28,36
7.2,15,38
6.2,28,39
5.5,23,38
5.8,25,32
4.3,28,34
4.2,28,32
5.5,14,37
8,20,33
7.5,28,33
7.1,15,33
7.5,15,34
7.2,15,33
7.6,30,31
7.2,28,36
5.3,30,38
5.7,28,36
6,37,38
6.5,30,35
6.5,28,38
6.5,28,33
7.2,35,35
7,20,26.2
6.5,10,26.8
7,15,35.6
7,10,38
7,25,24.6
6,25,28.8
6,28,27.2
6,25,23.6
6.5,15,18.8
6.5,28,22
7,28,27
7,15,30
8,10,33
7,28,34
7,28,34
8,15,30
7,22,7.8
7,28,24.3
8,20,28.2
7,28,14
7,28,17
8,15,18
8,28,18
10,15,19
9,10,19
11,28,23
7,15,35
8,10,2
7.9,13,12
8.3,15,-13
8.9,30,22
8.1,28,9.5
8,40,9.9
8.1,20,7.9
5,28,9.3
5,30,10.3
5.3,50,11.2
6,40,13.8
6.5,35,15.5
6.3,34,7.7
6.7,40,15.3
6.3,36,12.6
5.5,30,14.6
5.1,40,18.6
5,28,20.1
5.5,20,21
5.4,15,16.8
5,28,16.5
5.5,15,14.2
6.6,15,18.1
6.3,15,16.3
6.3,28,19.2
5.7,28,20.1
5.5,20,18.3
5.3,15,17.9
5.7,25,14.9
7.1,10,17.2
6.6,10,16.9
6.7,10,17.7
8,10,9.7
7.8,5,10.8
7.8,6,7.5
7.6,5,6.7
7.5,5,2.8
8,5,10.1
8.1,5,14.2
7.5,28,13.2
7.6,5,12.3
7,5,9.7
7,15,11.7
7.1,42,11.3
7.2,42,10.6
8.6,41,9.1
7.3,16,11.8
8,29,9.4
7.8,29,8.9
8.6,41,7.3
8.4,46,8.3
7.2,60,10.6
7.3,60,13.1
8.7,40,11.2
7.4,19,9.4
7.8,22,10.1
7.8,60,12.1
6.9,21,10.2
7.2,19,4
7.4,19,6.2
7.4,19,5.1
7.5,17,7.8
7.5,17,9.2
7,17,12.1
8.1,17,13.2
7.9,17,4.9
8.9,36.7,5.3
8.8,17,5.3
8.8,19,3.4
7,22,7.3
7,9,4.3
7,18,4.2
6.7,26,8.8
6.5,27,10.1
6.5,23,9.9
6.7,16,5.4
7.2,16,3.3
5.4,16,3.6
9.1,16,4.2
7.3,16,6.8
7.6,18,6.6
7,18,7.5
8,39,9.1
7,33,6.4
8,38,5.2
7,37,5.5
5,46,5.5
5,48,8.5
5,30,6.3
5,31,9.3
5,31,9.6
5,27,7.7
5,35,4.8
6,18,7.5
5,17,6.2
5,17,10.3
6,17,10.1
6,17,6.7
6.8,17,9.1
6.5,19,9.3
5.5,19,6.5
5,17,6.4
5.5,17,6.6
5,17,4.7
6,17,4.5
6,17,7.5
6,17,5.1
6,34,6.7
7.8,28,6.1
6.6,18,5.9
6.4,34,7.9
6,34,8.7
4.6,27,5.8
6.3,27,4.6
6.3,21,6.1
6.5,21,6.1
5.5,49,7.9
5.9,49,8.6
5.9,26,18.1
7.3,26,20.8
5,19,17.5
3.8,34,19.5
7.8,22,20.1
10,17,17.5
9.3,17,20.1
9.1,17,25
7.6,35,25
7.2,30,26
7.3,35,16
7.5,34,17
7,22,16.5
6,25,46.1
6,21,42.1
6,31,41.8
6.5,21,44.3
5,52,47.1
5,45,44.6
5,37,42.4
5,41,45.4
4,30,45.2
4,43,45.2
4,49,45.9
6.5,45,43.3
7.5,44,43.5
7,43,44.7
6.5,31,44.2
6.5,30,42.7
6.5,34,42.2
7,33,40.9
6,29,44.1
7,24,40.5
6.5,60,40.3
6.5,70,43.2
7,30,44.2
6.2,25,42.9
6.2,27,41.7
6.1,30,44.1
6.1,30,44.2
6.1,30,46.2
6.2,14,44.4
5,14,44.7
5,15,45.6
5,15,46.2
4,15,44.1
4,15,45.3
4,15,45.1
6.5,15,39.2
6.5,14,32.6
7,14,38.9
6.5,14,39.8
7,14,41.1
6.5,14,39.2
6,14,40.3
6.5,14,44.3
7.5,14,44.2
6.5,14,45.9
6.5,14,47.2
6.5,14,45.2
6.5,14,45.1
6.5,15,46.9
6.5,15,45.7
6.5,15,45.5
6.5,15,43.4
7,15,43.2
7.5,15,42.1
5.2,16,42.6
6,16,45.5
7,16,44.3
6.7,17,45.7
6.7,17,43.4
7,17,43
7,17,45.6
7,17,45.1
7,17,43.7
7,17,43.2
6.7,17,43.2
6.5,17,42.9
6.6,18,41
6.8,18,41.2
6.9,18,42.6
7,18,40.3
6.9,18,40.9
6.9,18,39
6.9,14,39.4
6.9,14,40
7.5,14,41
6.5,17,42
6.6,17,41
7.1,17,43
6.9,16,42
5.5,16,43
8.8,16,42
5.7,16,43
5.8,16,48.3
5.9,16,47
5.9,15,45.1
7.4,15,46.2
5.5,15,45
6,11,42
6,11,39
7,11,36
6.6,12,42
7,12,42.6
7.9,12,43
8.2,19,45
8.7,19,45.8
8.6,19,44.2
8.6,22,41.6
9.3,22,40.3
9.4,22,40.1
9.1,26,41.7
8.5,26,39.2
7.9,26,42
8.2,24,36
8.3,24,37
7.3,24,38
8,20,39.3
5.3,20,40
5.3,20,41.1
5.3,21,37.8
5.8,21,36
6.5,21,44.8
4.5,17,45.2
4.5,17,44.7
3.1,17,37
3.4,17,36.5
5.5,17,36.5
7,17,37
7.2,21,37.9
6.9,21,44.5
10.2,21,44.8
7.8,17,35
8.2,17,37
7.7,17,37.9
8,14,44.3
8,15,37.2
6,14,36.8
8,16,40.7
7,16,39
7.7,16,35
6.7,15,36.9
7,15,32
6,15,33
6.1,17,35.1
5.7,17,35.3
5.3,17,37
5.3,13,32.5
4.7,13,29.9
5.6,13,38
4.5,16,30
4.8,16,32.2
4.5,16,33
4.5,16,34
7.8,16,35
5.2,16,35.2
5.3,16,32.1
5.6,16,31
4.8,21,31.4
7,21,32
8.3,21,33.3
5.7,21,30
6.8,27,28
6.9,27,26.1
8.3,27,26.1
6.7,27,25
6.2,17,26.2
6.8,17,27
2.5,17,29
6.4,20,28.4
6.5,20,31
6.2,25,30
6.3,26,30
6.3,26,29
6.2,32,30
6.6,32,29
6.9,32,26
7.2,29,27.1
6.7,23,27
7.2,23,27
7.3,36,27
5.1,36,26
5.9,41,23
6,41,18
5.5,37,21
5.9,37,23
4.8,17,21
5.8,37,24
6.5,37,25
5.6,33,26
5.9,30,24
6.2,26,22
5.8,26,22
5.3,26,23
5.5,31,24
4.7,31,23
4.7,31,25
5,29,31
6.7,29,31
4.5,26,32
7,26,32
5.5,20,31
8.4,20,30
5.5,20,28
5.9,22,28
6.7,31,27
4.5,31,28
4.3,23,29
7,23,30
9.5,26,29
8.7,26,27
8.6,25,29
7.5,26,29
7.6,22,29
7.7,22,30
7.7,22,30
7.3,16,29
7.3,22,29
6.5,26,30
7.3,26,29
9,17,28
7.9,17,29
8.5,25,30
7.5,23,28
7.5,21,30
7.8,38,29
7.6,38,29
7.5,24,31
7.7,24,31
7.8,24,31
8,24,30
8.1,18,30
8.1,18,30
5.5,24,29
5.7,24,30
5.3,30,29
8.2,30,30
7,27,28
7,27,29
7.5,23,31
7.7,23,30
7,26,29
6.9,26,29
6.5,25,31
6,25,30
6.6,23,30
7.5,23,27
7.3,24,29
6.7,24,29
7.9,29,29
8,29,28
8.1,13,29
8.4,13,28
7,24,27
7,24,28
8,21,30
6.3,21,31
6.5,24,31
7,24,30
7,24,29
6,23,28
6.4,36,31
7.6,36,30
7.6,35,32
7.5,35,31
6.7,28,32
6.3,28,31
5.7,23,29
6.1,33,30
6.6,26,30
6.3,20,30
6,26,31
5,32,30
6.5,30,32
8.4,21,30
8.5,16,30
5.4,23,32
5.3,17,31
5.5,14,30
6.5,28,28
7.5,19,28
7.4,20,31
7.3,27,30
7.1,21,32
5.5,14,32
5.5,20,32
5.5,16,31
5.5,15,30
7.8,16,30
7.4,30,30
7.5,23,30
7.5,18,31
8.1,12,30
8.1,14,28
8.2,38,29
8.3,30,32
5,25,30
5,22,30
5.7,14,30
6,13,32
6,13,30
5,13,30
5,13,31
7,20,30
6.8,25,30
7.1,26,29
7.8,26,29
7.5,29,29
7.5,29,28
8,32,29
8,41,28
7.9,37,29
7,17,29
7,17,28
7,33,27
7.5,30,27
7,26,25
6.7,26,26
6.5,26,28
6.2,31,29
5.5,23,29
6.3,26,28
5.7,26,28
5,16,30
6.5,26,29
6,17,29
5.5,23,29
5.1,38,29
7.5,38,28
7,24,29
7,24,30
7.3,18,30
4.5,24,30
4.5,30,30
5,27,30
8.2,23,31
7.7,26,29
7.7,25,30
5.7,23,30
4.8,24,28
7.5,29,28
4.7,13,29
4.5,24,29
7,21,28
6,24,29
7.8,24,30
9.3,37,30
7.2,35,30
9.7,28,30
7.1,23,31
8.7,33,30
7.8,22,30
5,26,29
8.2,26,29
7.9,32,29
4,23,27
5.5,23,27
6.5,32,28
6,37,27
8,17,30
6.5,37,31
6,33,30
6,30,29
6,29,29
6,22,29
8,25,29
8,38,28
4.5,24,29
7,26,28
6,25,29
8,37,29
7.5,28,28
7.2,27,27
7.5,28,27
8,27,25
6,28,26
6.5,23,28
5.5,18,29
7.5,19,29
6,27,28
6.5,46,28
6,22,30
6.5,24,29
4,22,29
8,26,29
8,28,27
8,22,28
6.5,18,29
6.5,17,30
6,23,27.5
5.5,21,25.5
8,22,28
7.4,19,27.5
5.8,21,28.5
7,24,27.5
6.5,22,29.5
6.5,32,29.5
6,32,28
8,29,29
8,29,28.5
8,28,31
4.5,23,31
7.5,28,31.5
5.5,29,31.5
8.6,28,30.5
5.4,35,30.5
5.7,33,31.5
5,30,30.5
7.4,24,31
4.3,32,30
4.2,26,31
4.8,30,28.5
6.3,37,27.5
6,35,25.5
6.2,35,27
5.7,39,30.5
5.6,38,27.5
7,36,23.5
7.2,38,22.5
7.4,34,30
8.2,27,25.5
8.7,31,27
6,27,26.5
6.5,28,27.5
6,35,28.5
6.1,55,29
5.7,65,30
6.2,42,30.5
8.5,33,30.5
7.5,38,29.5
7.7,29,30
8.9,32,30.5
9.2,27,29
9.2,28,30.5
9.3,34,30.5
9.2,52,31
5.4,48,31.5
6.8,55,30
9.5,44,29.5
9.1,26,28
9.6,25,27
7,33,27
7,17,28.5
7,22,29.5
5,25,30
6.5,32,30.5
6.5,33,30.5
7.2,28,30
7.5,22,32.5
7.4,47,31
8.3,47,30.5
8.4,38,30.5
8.2,45,31
8.1,34,31
8.1,42,30
8.3,38,29
8.6,35,30
7.6,30,30
7.6,36,31
7.3,33,31.5
7.7,27,31
7.6,32,31
7.6,35,30
8,42,30
8.5,30,29.5
9.1,37,29.5
9.5,55,29.5
7.6,42,30
7.3,49,30.5
7.6,41,29.5
7.2,46,31
8.2,35,31.5
8.3,21,32.5
4.8,35,31.5
7.8,35,31.5
7.3,33,30.5
7.7,35,30.5
7.8,41,30.5
8,38,30
7,42,27
6.9,38,25
8.5,35,26
7.6,38,29.5
8.4,48,28.5
8.1,45,28.5
7.3,44,29.5
7.3,42,30
7.6,38,28.5
7.6,40,27.5
7.2,52,27
7.5,58,27
7.6,47,30
7.3,45,29
8.2,48,28.5
8.3,65,28.5
8.3,66,28.5
7.6,65,28.5
6.3,66,30
8.4,47,30.5
8.3,44,27.5
7.6,53,28
8.2,85,28
7.5,55,28.5
8.4,38,28.5
7.5,44,28.5
7.5,45,29
8,43,30
7.1,36,30.5
7.5,32,28.5
6.9,33,29.5
7.4,28,30
6.7,31,29
4.6,27,25.5
4.4,33,23
5.5,35,23
5.5,37,23
4,33,22
5,45,22.5
5,76,23.5
6,35,23.5
6,35,24.5
5,32,25
5,45,25.5
6,24,27
5.7,35,28
6,33,28
5.7,19,29
6,26,28.5
5,26,29.5
5.7,43,29.5
6,15,29.5
3,20,28.4
3,16,25.5
3,67,23.3
6.3,40,25
6,39,24.6
6,43,22.1
6,34,22.1
6,36,22.2
6,46,22.8
7,40,15
5.3,21.9,19.8
5.3,25.3,22.4
6,27,12
7,27,16.7
6,23,15.5
6,19,18
6,19,19.1
6,20,22.1
6,43,10
4,26,17.7
4,40,20.2
4,42,19
4,19,21
5,26,18.6
5,15,17.9
5,41,18.2
5,15,15.1
5,19,20
5.5,15,29.9
7.3,12,21
7.2,10,23
5,10,22
4.9,11,27
4.9,11,28
4.8,10,9
4.7,10,9
4.7,10,6
4.6,10,18.2
4.6,10,18.2
6.6,10,27.4
6.5,10,14
6.5,10,27
2.9,11,20
8,15,20
7.5,10,20
7,10,22
8.1,10,21
8,12,24
7,13,23
7,10,23
4.8,10,5.5
6.3,10,24.5
8.2,10,25.7
7,10,33
5,7,34.1
7,10,28.1
6,10,39
7,10,14
7,10,9.8
7,10,9.3
5.1,14,12.2
6.2,16,15
6.1,59.3,20
6.3,80,17.9
5.3,96,18.1
5.4,100,13.4
6,88,11.9
8.5,98,13.3
8,81,11.6
6.5,71,19.3
6.7,66,22.3
6,70,24.4
7,86,20
6,92,25.8
7.5,75,26.3
6,89,28.3
7.5,83.6,27.6
5,93,18.5
6,96,21.8
7,91,17.7
7.3,70,18.2
7.7,59.1,21.5
6.5,66.3,21.5
7.6,54,24.9
7.9,22,15.9
7.4,67.7,15.9
6.3,63.7,13.8
7,59.2,18.8
5.8,70,18.9
6,69.6,16.2
7.5,69.6,21.5
7,56.5,21.5
6.5,45,22.5
6,31.5,22.6
8,46.8,20.8
8,77,18.5
8.5,57,17.1
6.9,81,18.6
6.7,77,20.1
8,81,12.8
7.5,92,9.6
7.4,28,12.9
6.2,29,12.9
7,29,12.2
7,39,9.4
7,39,13.3
5.1,37,8
7,37,10.6
7,55,7.2
6,55,7.3
7,57,6.9
7,57,5
7,60,2.2
7,60,6.4
7,57,3.9
7.5,31,9.9
7,31,1.3
7,40,2.8
8,40,2
7.5,43,1
7,43,3
7,31,1.3
7,31,1.5
5.3,39,3
6,39,2
5.5,34,-1
4.9,34,0
6.2,52,4
6.2,65,3
5.5,65,2
5.7,15,2
6.2,15,4
6.2,58,6.5
6.9,58,7
6,10,6
6.5,10,11
5.4,12,7
4.5,67,26
6.5,21,14.7
6,21,7.4
6,56,6.8
4,25,8.1
4.7,25,7.1
6,14,7.1
5.1,14,9.5
6.3,14,3.3
7,14,3.8
7.5,10,3.6
7.5,10,3.6
7.3,67,1.8
7.6,67,3.2
7.6,55,3
5.2,55,6.3
8.2,61,9.4
8.5,66,11.2
8.5,66,11.2
8.8,58,11.6
8.6,58,13.2
8.7,57,11.1
8.6,16,10
8.5,16,9.6
7.2,18,11.1
7.4,18,8.7
7,56,12.4
7.9,64,11.5
8.4,53,12
7.2,59,8.8
7.5,62,9.6
7.5,20,17
8,20,17.2
6.5,17,16.1
8.2,22,12.5
9.3,35,19.8
6.1,50,19.9
8.6,40,15.3
7.5,26,15.8
9,40,14.3
8.9,65,14.2
8.1,37,16.9
7.3,46,14.4
8,20,14.5
8.3,33,17.2
8.8,49,15
8.5,49,14.7
5.5,22,18.2
6.8,20,16.9
6.7,16,15.2
4.8,39,13.2
5,25,12.4
4,54,10.8
5,48,9.1
5,32,5
4,32,5.2
5,71,10.3
5,22,7.3
5,23,6.6
5,37,10.9
7,42,17.9
7,83,12.4
7.1,46,12.3
6.9,64,14
8.6,54,10.6
9.2,41,8.8
6.9,20,8.7
6.8,36,13.5
6.6,86,14
6.6,86,10.6
6.4,57,8.8
6.6,33,14.3
6.1,24,9.9
6.9,25,7.3
6.6,39,11.8
6.2,67,12.8
7,88,5.9
6.7,38,8.3
6.5,47,34.9
4.6,80,41.5
3.7,63,35.1
6,35,35.9
6,32,36
6.5,21,24
7,30,34
6.5,19,34.5
6.5,37,36
6.5,86,36
6.5,90,33
6.5,49,33
5,23,34.5
7.5,86,34.5
3.2,62,30
3,36,30
3.2,72,34
3.9,37,34
4.7,76,34
4.6,89,33
2.9,53,33
3.8,70,34
3.4,61,34
3.8,44,35
2.9,54,35
2.9,34,37
3.4,24,37
3.4,81,33
4,70,35
3.3,51,35
3.2,49,34
3.6,56,36.2
3.7,60,36
5.5,47,36
6.5,66,33
5,75,33
4,53,34
4.3,44,34
7.6,65,37
7.7,72,33
8.1,70,33
6.7,56,42
6,70,37
6,73,37
5,77,34
7.3,59,36
7.4,82,35
7.7,68,35.1
7.7,68,10.9
7.7,59,11.4
7.8,60,17.8
7.5,70,20.2
6,78,22.5
5,69,14
6,75,12.4
5,68,18.8
8,53,16.7
6,54,13.4
7,46,11.1
8,58,11.1
6,65,18
5.3,61,17.9
5,81,10.1
6,83,21.1
7,78,15.6
7,71,21
8,73,25.8
5.2,60,24.1
7,57,26.1
7.2,25,22.8
7.5,36,20.1
6,34,23.6
8,41,27.7
9,49,29.1
9,44,22.9
6,48,15.6
6,49,17.5
5,23,16.7
6,25,21.2
5.5,35,23
8.7,36,24.7
8.6,55,27.3
6,54,27
7.7,45,23.8
8.3,23,27.5
8.7,30,27.2
6.5,33,28.8
5.9,41,24.6
6.6,32,24.7
6.6,43,26.9
7.2,37,19.1
7,43,25.8
6.5,46,23.3
7.5,46,23.3
7.5,36,22.2
7.8,55,18.9
7.8,56,24.1
7.3,47,23.1
7.1,40,27.9
7.3,42,26.7
8,31,16.9
7.3,73.4,15.9
7,80,25.2
7,82,27.2
7.2,69,26.8
7,77,22.9
7.2,55,25.8
7,60.6,25.8
7,85,25.1
7.1,65.2,23.7
6,51.2,14.1
6,78,10.8
6,62.1,14.1
6.5,59,13.8
5,61.1,7.1
6.4,50.5,3
6.4,51.6,3.9
6.4,50.2,21.6
6.4,61.7,21.6
6.4,47,23.7
6.4,54.2,20.4
6.4,73.8,28.3
6.4,3.7,24.8
6.4,66.6,23.7
6.4,3,29.1
6.4,71.2,5.4
6.4,15,6.8
5,49.4,-2.3
5,51.7,2.3
5,72.1,2.6
4,47.4,13.6
4,62.1,20.2
4,57.4,18.2
6.4,79.6,13.3
6.9,56,1.1
6.6,100,2.7
6.3,50,19.5
6.7,42.3,17.9
5,3,10.3
6,58.5,3.4
9,52.2,6
7.5,62.1,10.7
8,3,-6.8
7,45.5,-6.1
6,29.7,16.2
7.5,100,20.9
7,93.6,24.2
6,3,6.3
7.9,100,13.5
6,100,19.9
6.4,19.5,30.6
6.4,89.9,31.4
6.4,42,30.3
6.4,100,21.6
6.4,19.5,33.6
8.3,58,26.6
8.3,100,27.8
8.3,45.5,24.2
8.3,19.5,29.6
7.5,68,28
7.3,31,18
6,15,16
7.5,5.9,17.8
5.3,62.3,36
5,54,31
5,50.2,26
5,65.7,24.4
4,45.5,16
4,46.9,21
4,100,23
6.4,77.9,12.2
6.4,71,12.2
6.4,62,16.1
6.4,76,17
6.4,72,23
6.8,63,19
6.8,59,13
6.8,66.5,9
6.8,75,16
6.8,75,7
6.8,53,9
6.4,64.3,10
6.4,48.4,15
6.4,49.9,21
6.4,46.7,21
6.4,56.3,24
6.3,43.7,21.6
6,50.6,27.7
6,78.4,21.7
5,45.8,19.9
6.6,60.1,25.7
6.9,63.6,27.8
5,25,21.8
5,25,20.5
5,26,16.3
4,37,35.3
4,17,31.8
4,17,28.4
7,9,20.6
7,32,20.9
7,10,23.7
7,8,25.8
6,9,17.7
7,8,20.8
7,12,21.4
7,12,23.9
7,12,26.3
7,9,30.1
6.4,13,25.3
6.4,12,19.6
6.4,12,21.7
6.4,12,25.5
6.4,12,27.4
6,12,30.1
6,12,26
6.5,8,23.8
6.5,7,21.9
6,7,23.4
6,9,23.1
6.5,9,25.2
6.5,8,31.1
6,8,33.7
6,8,36.5
6,8,36.6
6,9,27.2
6.5,7,23.9
6.5,9,22.7
6,8,20.1
6,12,21.5
6.5,12,21.6
6.5,12,24.2
6,12,24.6
6,7,29.7
7.2,9,32.7
7.5,8,29.9
7.5,9,35.5
7.8,8,40.1
7.8,8,33.2
7.2,8,22.7
7.8,8,25.1
8,8,29.7
7.6,7,25.8
7.5,7,23.2
7,7,24.9
7.5,6,23.4
7.5,8,23.6
6,7,24.5
7,7,20.2
7,7,16.7
7,7,18.2
7,7,19.5
7.5,7,23.1
7.5,7,23.2
7.5,10,29.5
7,11,32.3
7,12,21
7.5,12,21.9
7,16,22.8
7.5,19,25.4
7.5,19,30
7,18,34.2
7,18,34.5
7,18,18.4
7,18,18.4
7,16,14.1
7.8,21,18.7
