pH,Humidity,Air Temp,Plant Type
4.5,15,16.6,Unknown
4.3,23,25.6,Unknown
5.1,24,31.9,Unknown
5.2,23,25.5,Unknown
4.8,18,14.5,Unknown
4.7,18,18.4,Unknown
5.4,18,18.3,Unknown
6.9,22,17.1,Unknown
6.6,21,18.5,Unknown
7.6,22,11.3,Unknown
8.9,24,16.6,Unknown
7.7,23,11.9,Unknown
7.9,27,10,Unknown
8.9,27,9.1,Unknown
9.2,24,12,Unknown
9.4,27,16,Unknown
9.1,29,13.7,Unknown
9,29,13.3,Unknown
8.9,39,11.1,Unknown
6,30,9.9,Unknown
6,39,15.4,Leafy Greens and Root Vegetables
6,30,12.9,Leafy Greens and Root Vegetables
6,29,16.5,Unknown
6,23,12.8,Unknown
6,23,18.7,Unknown
6,74,17.9,Unknown
6,43,17.9,Leafy Greens and Root Vegetables
6,44,26.4,Unknown
6,43,21.6,Unknown
6,43,25.7,Unknown
6,43,22.9,Unknown
6,33,35.1,Unknown
6,97,34,Tropical and Wetland Plants
5,97,44,Unknown
6,87,41.6,Unknown
6,22,44.3,Unknown
6,44,44.6,Unknown
6,44,44.5,Unknown
6,44,29.7,Unknown
6,44,31.5,Unknown
6,31,32.7,Unknown
7,27,29.1,Unknown
7,24,31.4,Unknown
6,26,21.3,Unknown
6,22,21.4,Unknown
6,24,23.4,Unknown
6,16,27,Unknown
6,17,34.8,Unknown
6,42,37.5,Unknown
6,28,35.3,Unknown
6,25,32.4,Unknown
6,25,32.6,Unknown
6,25,35.7,Unknown
6,25,35.2,Unknown
6,27,40.2,Unknown
6,24,47,Unknown
6,19,30.1,Unknown
6,19,29.7,Unknown
6,16,30.8,Unknown
6,16,28.7,Unknown
6,27,31.6,Unknown
6,23,31.8,Unknown
5.5,27,41.4,Unknown
6.8,27,41.3,Unknown
6.8,23,33.4,Unknown
5.7,23,32.3,Unknown
5.4,22,32.3,Unknown
6.5,18,33.4,Unknown
6.7,19,33.6,Unknown
6,26,28.2,Unknown
5.5,22,19.7,Unknown
6.5,19,26.3,Unknown
8,22,25.8,Unknown
7.5,22,30.5,Drought-Resistant Plants
7.5,22,30.1,Drought-Resistant Plants
6,21,24.3,Unknown
6,15,25.3,Unknown
6,14,28.4,Unknown
7.8,14,22.6,Unknown
6.9,14,28.1,Unknown
7.2,17,28.1,Unknown
7.2,24,21.5,Unknown
7.1,29,26.2,Unknown
7.2,26,27.5,Unknown
7.8,26,21.5,Unknown
8,23,25.2,Unknown
7,18,24.4,Unknown
6.6,22,29.1,Unknown
7.2,15,27.1,Unknown
7.4,18,33.8,Unknown
7.6,18,28.1,Unknown
7.3,15,30,Unknown
7.9,20,32.3,Drought-Resistant Plants
7.7,28,30.7,Drought-Resistant Plants
7.8,28,36.2,Drought-Resistant Plants
8.4,28,17.2,Unknown
8.4,28,16.5,Unknown
4.1,28,27,Unknown
4.3,28,28,Unknown
4,28,32,Unknown
4.9,28,32,Unknown
7.7,28,37,Drought-Resistant Plants
8,28,30.6,Drought-Resistant Plants
7.2,28,31.1,Unknown
6.1,28,30.6,Unknown
6.8,28,23.2,Unknown
6.4,28,22.8,Unknown
5.7,71,24.7,Unknown
5.7,71,24,Unknown
5.7,28,21.5,Unknown
7.9,71,27.8,Unknown
6,28,34.6,Unknown
6,28,33.1,Unknown
7.3,28,34.4,Unknown
7.8,28,26,Unknown
7.5,28,24.6,Unknown
7.2,28,23,Unknown
7.3,28,23.8,Unknown
7.5,28,23.8,Unknown
6.7,28,25.6,Unknown
7,28,25.5,Unknown
8,28,31.6,Drought-Resistant Plants
6,28,33.1,Unknown
7,28,33,Unknown
8,28,22.8,Unknown
7.3,28,31.6,Unknown
8,28,21.1,Unknown
8,28,32.3,Drought-Resistant Plants
7.5,28,32.3,Drought-Resistant Plants
7.5,28,32.3,Drought-Resistant Plants
7.5,28,27.4,Unknown
7.3,28,36.6,Unknown
5.8,28,35.6,Unknown
7,28,35.6,Unknown
5.8,28,25,Unknown
5.8,28,31.9,Unknown
5.8,28,34.9,Unknown
6,28,26.1,Unknown
5,28,20.9,Unknown
9,28,23,Unknown
7.9,28,23,Unknown
6.9,28,21,Unknown
11.3,28,23,Unknown
8.4,28,21,Unknown
8.4,28,23,Unknown
8.3,28,22.2,Unknown
6.7,28,36.6,Unknown
5.2,28,38.6,Unknown
6.7,28,36.1,Unknown
7.1,28,27,Unknown
6.7,28,27,Unknown
6.7,28,26,Unknown
6.7,28,26,Unknown
4.8,20,24,Unknown
4.8,31,25,Unknown
6,28,26,Unknown
5,25,25,Unknown
6.3,28,26,Unknown
7,28,25,Unknown
7.1,20,26,Unknown
6.5,22,26,Unknown
7.1,28,25,Unknown
7.1,28,28,Unknown
7,28,24,Unknown
8.3,28,25,Unknown
3,28,28,Unknown
6.5,28,24,Unknown
5.7,15,24,Unknown
11.3,15,25,Unknown
5.5,28,28,Unknown
5,30,26,Unknown
3,28,25,Unknown
6.5,28,24,Unknown
6.9,28,24,Unknown
6.4,28,28,Unknown
6.8,23,24,Unknown
8.3,29,24,Unknown
8.5,28,27,Unknown
6.8,28,27,Unknown
6.6,28,26,Unknown
4.4,28,28,Unknown
5.6,28,28,Unknown
6.1,28,27,Unknown
5.8,28,24,Unknown
7,32,23,Unknown
7,28,24,Unknown
5,28,23,Unknown
6.3,28,29,Unknown
5.8,25,25,Unknown
6,30,25,Unknown
7.5,28,25,Unknown
7.4,28,25,Unknown
7.5,23,23,Unknown
5.5,28,24,Unknown
7,30,26,Unknown
7,30,23,Unknown
7.8,30,23,Unknown
8.2,28,24,Unknown
7.9,28,25,Unknown
8.3,15,22,Unknown
8.5,28,24,Unknown
8.5,19,25,Unknown
5,28,26,Unknown
7,28,24,Unknown
6,15,20,Unknown
7.7,12,22,Unknown
7,28,22,Unknown
7,31,22,Unknown
7.3,28,22,Unknown
7,28,22,Unknown
7.3,30,23,Unknown
7,15,22,Unknown
7.4,30,24,Unknown
5.5,30,24,Unknown
5,28,24,Unknown
5,28,24,Unknown
5,28,24,Unknown
5,28,22,Unknown
5,30,23,Unknown
5,36,23,Unknown
5,28,23,Unknown
5,30,22,Unknown
7,30,22,Unknown
6.4,28,25,Unknown
8.1,28,23,Unknown
8.2,30,23,Unknown
8.1,30,23,Unknown
7.7,28,23,Unknown
7.4,30,23,Unknown
6,28,23,Unknown
6.5,28,23,Unknown
7,20,22,Unknown
7,28,22,Unknown
4.5,28,21,Unknown
4.6,28,21,Unknown
4.6,20,22,Unknown
5.6,20,23,Unknown
7,28,24,Unknown
6,20,21,Unknown
6.5,20,34.9,Unknown
5.9,28,33.1,Unknown
4.8,20,23.4,Unknown
4.6,28,21.1,Unknown
7,28,36,Unknown
7.2,15,38,Unknown
6.2,28,39,Unknown
5.5,23,38,Unknown
5.8,25,32,Unknown
4.3,28,34,Unknown
4.2,28,32,Unknown
5.5,14,37,Unknown
8,20,33,Drought-Resistant Plants
7.5,28,33,Drought-Resistant Plants
7.1,15,33,Unknown
7.5,15,34,Unknown
7.2,15,33,Unknown
7.6,30,31,Drought-Resistant Plants
7.2,28,36,Unknown
5.3,30,38,Unknown
5.7,28,36,Unknown
6,37,38,Unknown
6.5,30,35,Unknown
6.5,28,38,Unknown
6.5,28,33,Unknown
7.2,35,35,Unknown
7,20,26.2,Unknown
6.5,10,26.8,Unknown
7,15,35.6,Unknown
7,10,38,Unknown
7,25,24.6,Unknown
6,25,28.8,Unknown
6,28,27.2,Unknown
6,25,23.6,Unknown
6.5,15,18.8,Unknown
6.5,28,22,Unknown
7,28,27,Unknown
7,15,30,Unknown
8,10,33,Unknown
7,28,34,Unknown
7,28,34,Unknown
8,15,30,Unknown
7,22,7.8,Unknown
7,28,24.3,Unknown
8,20,28.2,Unknown
7,28,14,Unknown
7,28,17,Unknown
8,15,18,Unknown
8,28,18,Unknown
10,15,19,Unknown
9,10,19,Unknown
11,28,23,Unknown
7,15,35,Unknown
8,10,2,Unknown
7.9,13,12,Unknown
8.3,15,-13,Unknown
8.9,30,22,Unknown
8.1,28,9.5,Unknown
8,40,9.9,Unknown
8.1,20,7.9,Unknown
5,28,9.3,Berries and Evergreens
5,30,10.3,Unknown
5.3,50,11.2,Unknown
6,40,13.8,Leafy Greens and Root Vegetables
6.5,35,15.5,Leafy Greens and Root Vegetables
6.3,34,7.7,Unknown
6.7,40,15.3,Unknown
6.3,36,12.6,Leafy Greens and Root Vegetables
5.5,30,14.6,Unknown
5.1,40,18.6,Unknown
5,28,20.1,Unknown
5.5,20,21,Unknown
5.4,15,16.8,Unknown
5,28,16.5,Unknown
5.5,15,14.2,Unknown
6.6,15,18.1,Unknown
6.3,15,16.3,Unknown
6.3,28,19.2,Unknown
5.7,28,20.1,Unknown
5.5,20,18.3,Unknown
5.3,15,17.9,Unknown
5.7,25,14.9,Unknown
7.1,10,17.2,Unknown
6.6,10,16.9,Unknown
6.7,10,17.7,Unknown
8,10,9.7,Unknown
7.8,5,10.8,Unknown
7.8,6,7.5,Unknown
7.6,5,6.7,Unknown
7.5,5,2.8,Unknown
8,5,10.1,Unknown
8.1,5,14.2,Unknown
7.5,28,13.2,Unknown
7.6,5,12.3,Unknown
7,5,9.7,Unknown
7,15,11.7,Unknown
7.1,42,11.3,Unknown
7.2,42,10.6,Unknown
8.6,41,9.1,Unknown
7.3,16,11.8,Unknown
8,29,9.4,Unknown
7.8,29,8.9,Unknown
8.6,41,7.3,Unknown
8.4,46,8.3,Unknown
7.2,60,10.6,Unknown
7.3,60,13.1,Unknown
8.7,40,11.2,Unknown
7.4,19,9.4,Unknown
7.8,22,10.1,Unknown
7.8,60,12.1,Unknown
6.9,21,10.2,Unknown
7.2,19,4,Unknown
7.4,19,6.2,Unknown
7.4,19,5.1,Unknown
7.5,17,7.8,Unknown
7.5,17,9.2,Unknown
7,17,12.1,Unknown
8.1,17,13.2,Unknown
7.9,17,4.9,Unknown
8.9,36.7,5.3,Unknown
8.8,17,5.3,Unknown
8.8,19,3.4,Unknown
7,22,7.3,Unknown
7,9,4.3,Unknown
7,18,4.2,Unknown
6.7,26,8.8,Unknown
6.5,27,10.1,Unknown
6.5,23,9.9,Unknown
6.7,16,5.4,Unknown
7.2,16,3.3,Unknown
5.4,16,3.6,Unknown
9.1,16,4.2,Unknown
7.3,16,6.8,Unknown
7.6,18,6.6,Unknown
7,18,7.5,Unknown
8,39,9.1,Unknown
7,33,6.4,Unknown
8,38,5.2,Unknown
7,37,5.5,Unknown
5,46,5.5,Unknown
5,48,8.5,Unknown
5,30,6.3,Berries and Evergreens
5,31,9.3,Berries and Evergreens
5,31,9.6,Berries and Evergreens
5,27,7.7,Berries and Evergreens
5,35,4.8,Berries and Evergreens
6,18,7.5,Unknown
5,17,6.2,Unknown
5,17,10.3,Unknown
6,17,10.1,Unknown
6,17,6.7,Unknown
6.8,17,9.1,Unknown
6.5,19,9.3,Unknown
5.5,19,6.5,Unknown
5,17,6.4,Unknown
5.5,17,6.6,Unknown
5,17,4.7,Unknown
6,17,4.5,Unknown
6,17,7.5,Unknown
6,17,5.1,Unknown
6,34,6.7,Unknown
7.8,28,6.1,Unknown
6.6,18,5.9,Unknown
6.4,34,7.9,Unknown
6,34,8.7,Unknown
4.6,27,5.8,Berries and Evergreens
6.3,27,4.6,Unknown
6.3,21,6.1,Unknown
6.5,21,6.1,Unknown
5.5,49,7.9,Unknown
5.9,49,8.6,Unknown
5.9,26,18.1,Unknown
7.3,26,20.8,Unknown
5,19,17.5,Unknown
3.8,34,19.5,Unknown
7.8,22,20.1,Unknown
10,17,17.5,Unknown
9.3,17,20.1,Unknown
9.1,17,25,Unknown
7.6,35,25,Unknown
7.2,30,26,Unknown
7.3,35,16,Unknown
7.5,34,17,Unknown
7,22,16.5,Unknown
6,25,46.1,Unknown
6,21,42.1,Unknown
6,31,41.8,Unknown
6.5,21,44.3,Unknown
5,52,47.1,Unknown
5,45,44.6,Unknown
5,37,42.4,Unknown
5,41,45.4,Unknown
4,30,45.2,Unknown
4,43,45.2,Unknown
4,49,45.9,Unknown
6.5,45,43.3,Unknown
7.5,44,43.5,Unknown
7,43,44.7,Unknown
6.5,31,44.2,Unknown
6.5,30,42.7,Unknown
6.5,34,42.2,Unknown
7,33,40.9,Unknown
6,29,44.1,Unknown
7,24,40.5,Unknown
6.5,60,40.3,Unknown
6.5,70,43.2,Unknown
7,30,44.2,Unknown
6.2,25,42.9,Unknown
6.2,27,41.7,Unknown
6.1,30,44.1,Unknown
6.1,30,44.2,Unknown
6.1,30,46.2,Unknown
6.2,14,44.4,Unknown
5,14,44.7,Unknown
5,15,45.6,Unknown
5,15,46.2,Unknown
4,15,44.1,Unknown
4,15,45.3,Unknown
4,15,45.1,Unknown
6.5,15,39.2,Unknown
6.5,14,32.6,Unknown
7,14,38.9,Unknown
6.5,14,39.8,Unknown
7,14,41.1,Unknown
6.5,14,39.2,Unknown
6,14,40.3,Unknown
6.5,14,44.3,Unknown
7.5,14,44.2,Unknown
6.5,14,45.9,Unknown
6.5,14,47.2,Unknown
6.5,14,45.2,Unknown
6.5,14,45.1,Unknown
6.5,15,46.9,Unknown
6.5,15,45.7,Unknown
6.5,15,45.5,Unknown
6.5,15,43.4,Unknown
7,15,43.2,Unknown
7.5,15,42.1,Unknown
5.2,16,42.6,Unknown
6,16,45.5,Unknown
7,16,44.3,Unknown
6.7,17,45.7,Unknown
6.7,17,43.4,Unknown
7,17,43,Unknown
7,17,45.6,Unknown
7,17,45.1,Unknown
7,17,43.7,Unknown
7,17,43.2,Unknown
6.7,17,43.2,Unknown
6.5,17,42.9,Unknown
6.6,18,41,Unknown
6.8,18,41.2,Unknown
6.9,18,42.6,Unknown
7,18,40.3,Unknown
6.9,18,40.9,Unknown
6.9,18,39,Unknown
6.9,14,39.4,Unknown
6.9,14,40,Unknown
7.5,14,41,Unknown
6.5,17,42,Unknown
6.6,17,41,Unknown
7.1,17,43,Unknown
6.9,16,42,Unknown
5.5,16,43,Unknown
8.8,16,42,Unknown
5.7,16,43,Unknown
5.8,16,48.3,Unknown
5.9,16,47,Unknown
5.9,15,45.1,Unknown
7.4,15,46.2,Unknown
5.5,15,45,Unknown
6,11,42,Unknown
6,11,39,Unknown
7,11,36,Unknown
6.6,12,42,Unknown
7,12,42.6,Unknown
7.9,12,43,Unknown
8.2,19,45,Unknown
8.7,19,45.8,Unknown
8.6,19,44.2,Unknown
8.6,22,41.6,Drought-Resistant Plants
9.3,22,40.3,Unknown
9.4,22,40.1,Unknown
9.1,26,41.7,Unknown
8.5,26,39.2,Drought-Resistant Plants
7.9,26,42,Drought-Resistant Plants
8.2,24,36,Drought-Resistant Plants
8.3,24,37,Drought-Resistant Plants
7.3,24,38,Unknown
8,20,39.3,Drought-Resistant Plants
5.3,20,40,Unknown
5.3,20,41.1,Unknown
5.3,21,37.8,Unknown
5.8,21,36,Unknown
6.5,21,44.8,Unknown
4.5,17,45.2,Unknown
4.5,17,44.7,Unknown
3.1,17,37,Unknown
3.4,17,36.5,Unknown
5.5,17,36.5,Unknown
7,17,37,Unknown
7.2,21,37.9,Unknown
6.9,21,44.5,Unknown
10.2,21,44.8,Unknown
7.8,17,35,Unknown
8.2,17,37,Unknown
7.7,17,37.9,Unknown
8,14,44.3,Unknown
8,15,37.2,Unknown
6,14,36.8,Unknown
8,16,40.7,Unknown
7,16,39,Unknown
7.7,16,35,Unknown
6.7,15,36.9,Unknown
7,15,32,Unknown
6,15,33,Unknown
6.1,17,35.1,Unknown
5.7,17,35.3,Unknown
5.3,17,37,Unknown
5.3,13,32.5,Unknown
4.7,13,29.9,Unknown
5.6,13,38,Unknown
4.5,16,30,Unknown
4.8,16,32.2,Unknown
4.5,16,33,Unknown
4.5,16,34,Unknown
7.8,16,35,Unknown
5.2,16,35.2,Unknown
5.3,16,32.1,Unknown
5.6,16,31,Unknown
4.8,21,31.4,Unknown
7,21,32,Unknown
8.3,21,33.3,Drought-Resistant Plants
5.7,21,30,Unknown
6.8,27,28,Unknown
6.9,27,26.1,Unknown
8.3,27,26.1,Unknown
6.7,27,25,Unknown
6.2,17,26.2,Unknown
6.8,17,27,Unknown
2.5,17,29,Unknown
6.4,20,28.4,Unknown
6.5,20,31,Unknown
6.2,25,30,Unknown
6.3,26,30,Unknown
6.3,26,29,Unknown
6.2,32,30,Unknown
6.6,32,29,Unknown
6.9,32,26,Unknown
7.2,29,27.1,Unknown
6.7,23,27,Unknown
7.2,23,27,Unknown
7.3,36,27,Unknown
5.1,36,26,Unknown
5.9,41,23,Unknown
6,41,18,Leafy Greens and Root Vegetables
5.5,37,21,Unknown
5.9,37,23,Unknown
4.8,17,21,Unknown
5.8,37,24,Unknown
6.5,37,25,Unknown
5.6,33,26,Unknown
5.9,30,24,Unknown
6.2,26,22,Unknown
5.8,26,22,Unknown
5.3,26,23,Unknown
5.5,31,24,Unknown
4.7,31,23,Unknown
4.7,31,25,Unknown
5,29,31,Unknown
6.7,29,31,Unknown
4.5,26,32,Unknown
7,26,32,Unknown
5.5,20,31,Unknown
8.4,20,30,Drought-Resistant Plants
5.5,20,28,Unknown
5.9,22,28,Unknown
6.7,31,27,Unknown
4.5,31,28,Unknown
4.3,23,29,Unknown
7,23,30,Unknown
9.5,26,29,Unknown
8.7,26,27,Unknown
8.6,25,29,Unknown
7.5,26,29,Unknown
7.6,22,29,Unknown
7.7,22,30,Drought-Resistant Plants
7.7,22,30,Drought-Resistant Plants
7.3,16,29,Unknown
7.3,22,29,Unknown
6.5,26,30,Unknown
7.3,26,29,Unknown
9,17,28,Unknown
7.9,17,29,Unknown
8.5,25,30,Drought-Resistant Plants
7.5,23,28,Unknown
7.5,21,30,Drought-Resistant Plants
7.8,38,29,Unknown
7.6,38,29,Unknown
7.5,24,31,Drought-Resistant Plants
7.7,24,31,Drought-Resistant Plants
7.8,24,31,Drought-Resistant Plants
8,24,30,Drought-Resistant Plants
8.1,18,30,Unknown
8.1,18,30,Unknown
5.5,24,29,Unknown
5.7,24,30,Unknown
5.3,30,29,Unknown
8.2,30,30,Drought-Resistant Plants
7,27,28,Unknown
7,27,29,Unknown
7.5,23,31,Drought-Resistant Plants
7.7,23,30,Drought-Resistant Plants
7,26,29,Unknown
6.9,26,29,Unknown
6.5,25,31,Unknown
6,25,30,Unknown
6.6,23,30,Unknown
7.5,23,27,Unknown
7.3,24,29,Unknown
6.7,24,29,Unknown
7.9,29,29,Unknown
8,29,28,Unknown
8.1,13,29,Unknown
8.4,13,28,Unknown
7,24,27,Unknown
7,24,28,Unknown
8,21,30,Drought-Resistant Plants
6.3,21,31,Unknown
6.5,24,31,Unknown
7,24,30,Unknown
7,24,29,Unknown
6,23,28,Unknown
6.4,36,31,Unknown
7.6,36,30,Drought-Resistant Plants
7.6,35,32,Drought-Resistant Plants
7.5,35,31,Drought-Resistant Plants
6.7,28,32,Unknown
6.3,28,31,Unknown
5.7,23,29,Unknown
6.1,33,30,Unknown
6.6,26,30,Unknown
6.3,20,30,Unknown
6,26,31,Unknown
5,32,30,Unknown
6.5,30,32,Unknown
8.4,21,30,Drought-Resistant Plants
8.5,16,30,Unknown
5.4,23,32,Unknown
5.3,17,31,Unknown
5.5,14,30,Unknown
6.5,28,28,Unknown
7.5,19,28,Unknown
7.4,20,31,Unknown
7.3,27,30,Unknown
7.1,21,32,Unknown
5.5,14,32,Unknown
5.5,20,32,Unknown
5.5,16,31,Unknown
5.5,15,30,Unknown
7.8,16,30,Unknown
7.4,30,30,Unknown
7.5,23,30,Drought-Resistant Plants
7.5,18,31,Unknown
8.1,12,30,Unknown
8.1,14,28,Unknown
8.2,38,29,Unknown
8.3,30,32,Drought-Resistant Plants
5,25,30,Unknown
5,22,30,Unknown
5.7,14,30,Unknown
6,13,32,Unknown
6,13,30,Unknown
5,13,30,Unknown
5,13,31,Unknown
7,20,30,Unknown
6.8,25,30,Unknown
7.1,26,29,Unknown
7.8,26,29,Unknown
7.5,29,29,Unknown
7.5,29,28,Unknown
8,32,29,Unknown
8,41,28,Unknown
7.9,37,29,Unknown
7,17,29,Unknown
7,17,28,Unknown
7,33,27,Unknown
7.5,30,27,Unknown
7,26,25,Unknown
6.7,26,26,Unknown
6.5,26,28,Unknown
6.2,31,29,Unknown
5.5,23,29,Unknown
6.3,26,28,Unknown
5.7,26,28,Unknown
5,16,30,Unknown
6.5,26,29,Unknown
6,17,29,Unknown
5.5,23,29,Unknown
5.1,38,29,Unknown
7.5,38,28,Unknown
7,24,29,Unknown
7,24,30,Unknown
7.3,18,30,Unknown
4.5,24,30,Unknown
4.5,30,30,Unknown
5,27,30,Unknown
8.2,23,31,Drought-Resistant Plants
7.7,26,29,Unknown
7.7,25,30,Drought-Resistant Plants
5.7,23,30,Unknown
