pH,Humidity,Air Temp,Plant Type
6.3,36.0,12.6,Leafy Greens and Root Vegetables
5.0,30.0,6.3,Berries and Evergreens
5.0,31.0,9.3,Berries and Evergreens
5.0,31.0,9.6,Berries and Evergreens
5.0,27.0,7.7,Berries and Evergreens
5.0,35.0,4.8,Berries and Evergreens
4.6,27.0,5.8,Berries and Evergreens
8.6,22.0,41.6,Drought-Resistant Plants
8.5,26.0,39.2,Drought-Resistant Plants
7.9,26.0,42.0,Drought-Resistant Plants
8.2,24.0,36.0,Drought-Resistant Plants
8.3,24.0,37.0,Drought-Resistant Plants
8.0,20.0,39.3,Drought-Resistant Plants
8.3,21.0,33.3,Drought-Resistant Plants
6.0,41.0,18.0,Leafy Greens and Root Vegetables
8.4,20.0,30.0,Drought-Resistant Plants
7.7,22.0,30.0,Drought-Resistant Plants
7.7,22.0,30.0,Drought-Resistant Plants
8.5,25.0,30.0,Drought-Resistant Plants
7.5,21.0,30.0,Drought-Resistant Plants
7.5,24.0,31.0,Drought-Resistant Plants
7.7,24.0,31.0,Drought-Resistant Plants
7.8,24.0,31.0,Drought-Resistant Plants
8.0,24.0,30.0,Drought-Resistant Plants
8.2,30.0,30.0,Drought-Resistant Plants
7.5,23.0,31.0,Drought-Resistant Plants
7.7,23.0,30.0,Drought-Resistant Plants
8.0,21.0,30.0,Drought-Resistant Plants
7.6,36.0,30.0,Drought-Resistant Plants
7.6,35.0,32.0,Drought-Resistant Plants
7.5,35.0,31.0,Drought-Resistant Plants
8.4,21.0,30.0,Drought-Resistant Plants
7.5,23.0,30.0,Drought-Resistant Plants
8.3,30.0,32.0,Drought-Resistant Plants
8.2,23.0,31.0,Drought-Resistant Plants
7.7,25.0,30.0,Drought-Resistant Plants
7.8,24.0,30.0,Drought-Resistant Plants
8.7,33.0,30.0,Drought-Resistant Plants
7.8,22.0,30.0,Drought-Resistant Plants
8.0,28.0,31.0,Drought-Resistant Plants
7.5,28.0,31.5,Drought-Resistant Plants
8.6,28.0,30.5,Drought-Resistant Plants
8.5,33.0,30.5,Drought-Resistant Plants
7.7,29.0,30.0,Drought-Resistant Plants
8.9,32.0,30.5,Drought-Resistant Plants
6.8,55.0,30.0,Warm-Season Fruits and Vegetables
7.5,22.0,32.5,Drought-Resistant Plants
8.4,38.0,30.5,Drought-Resistant Plants
8.1,34.0,31.0,Drought-Resistant Plants
8.6,35.0,30.0,Drought-Resistant Plants
7.6,30.0,30.0,Drought-Resistant Plants
7.6,36.0,31.0,Drought-Resistant Plants
7.7,27.0,31.0,Drought-Resistant Plants
7.6,32.0,31.0,Drought-Resistant Plants
7.6,35.0,30.0,Drought-Resistant Plants
8.2,35.0,31.5,Drought-Resistant Plants
8.3,21.0,32.5,Drought-Resistant Plants
7.8,35.0,31.5,Drought-Resistant Plants
7.7,35.0,30.5,Drought-Resistant Plants
8.0,38.0,30.0,Drought-Resistant Plants
7.0,42.0,27.0,Warm-Season Fruits and Vegetables
7.3,44.0,29.5,Warm-Season Fruits and Vegetables
7.3,42.0,30.0,Warm-Season Fruits and Vegetables
7.2,52.0,27.0,Warm-Season Fruits and Vegetables
7.5,58.0,27.0,Warm-Season Fruits and Vegetables
7.3,45.0,29.0,Warm-Season Fruits and Vegetables
7.5,55.0,28.5,Warm-Season Fruits and Vegetables
7.5,44.0,28.5,Warm-Season Fruits and Vegetables
7.5,45.0,29.0,Warm-Season Fruits and Vegetables
7.0,40.0,15.0,Herbs and Aromatic Plants
6.0,43.0,10.0,Leafy Greens and Root Vegetables
6.1,59.3,20.0,Leafy Greens and Root Vegetables
6.7,66.0,22.3,Warm-Season Fruits and Vegetables
6.0,92.0,25.8,Tropical and Wetland Plants
6.0,89.0,28.3,Tropical and Wetland Plants
7.7,59.1,21.5,Herbs and Aromatic Plants
7.6,54.0,24.9,Herbs and Aromatic Plants
7.0,59.2,18.8,Herbs and Aromatic Plants
7.5,69.6,21.5,Warm-Season Fruits and Vegetables
7.0,56.5,21.5,Warm-Season Fruits and Vegetables
8.0,46.8,20.8,Herbs and Aromatic Plants
5.1,37.0,8.0,Berries and Evergreens
5.3,39.0,3.0,Berries and Evergreens
4.9,34.0,0.0,Berries and Evergreens
4.0,25.0,8.1,Berries and Evergreens
4.7,25.0,7.1,Berries and Evergreens
6.1,50.0,19.9,Leafy Greens and Root Vegetables
5.0,32.0,5.0,Berries and Evergreens
4.0,32.0,5.2,Berries and Evergreens
5.0,22.0,7.3,Berries and Evergreens
5.0,23.0,6.6,Berries and Evergreens
7.0,42.0,17.9,Herbs and Aromatic Plants
6.5,90.0,33.0,Tropical and Wetland Plants
7.8,60.0,17.8,Herbs and Aromatic Plants
7.5,70.0,20.2,Warm-Season Fruits and Vegetables
8.0,53.0,16.7,Herbs and Aromatic Plants
6.0,54.0,13.4,Leafy Greens and Root Vegetables
7.0,57.0,26.1,Warm-Season Fruits and Vegetables
6.0,48.0,15.6,Leafy Greens and Root Vegetables
6.0,49.0,17.5,Leafy Greens and Root Vegetables
7.7,45.0,23.8,Herbs and Aromatic Plants
6.6,43.0,26.9,Warm-Season Fruits and Vegetables
7.0,43.0,25.8,Warm-Season Fruits and Vegetables
7.5,46.0,23.3,Warm-Season Fruits and Vegetables
7.8,55.0,18.9,Herbs and Aromatic Plants
7.8,56.0,24.1,Herbs and Aromatic Plants
7.3,47.0,23.1,Warm-Season Fruits and Vegetables
7.1,40.0,27.9,Warm-Season Fruits and Vegetables
7.3,42.0,26.7,Warm-Season Fruits and Vegetables
7.0,80.0,25.2,Tropical and Wetland Plants
7.0,82.0,27.2,Tropical and Wetland Plants
7.2,69.0,26.8,Warm-Season Fruits and Vegetables
7.2,55.0,25.8,Warm-Season Fruits and Vegetables
7.0,60.6,25.8,Warm-Season Fruits and Vegetables
7.0,85.0,25.1,Tropical and Wetland Plants
7.1,65.2,23.7,Warm-Season Fruits and Vegetables
6.0,51.2,14.1,Leafy Greens and Root Vegetables
6.5,59.0,13.8,Leafy Greens and Root Vegetables
6.4,73.8,28.3,Tropical and Wetland Plants
6.3,50.0,19.5,Leafy Greens and Root Vegetables
6.4,89.9,31.4,Tropical and Wetland Plants
7.5,68.0,28.0,Warm-Season Fruits and Vegetables
6.4,48.4,15.0,Leafy Greens and Root Vegetables
6.6,60.1,25.7,Warm-Season Fruits and Vegetables
6.9,63.6,27.8,Warm-Season Fruits and Vegetables
8.1,29.0,33.3,Drought-Resistant Plants
7.8,30.0,32.7,Drought-Resistant Plants
7.7,30.0,32.2,Drought-Resistant Plants
7.8,29.0,30.1,Drought-Resistant Plants
7.9,32.0,33.6,Drought-Resistant Plants
8.0,49.0,17.5,Herbs and Aromatic Plants
8.0,43.0,18.2,Herbs and Aromatic Plants
7.0,44.0,18.2,Herbs and Aromatic Plants
7.0,46.0,17.0,Herbs and Aromatic Plants
8.0,40.0,22.7,Herbs and Aromatic Plants
7.0,40.0,15.2,Herbs and Aromatic Plants
8.0,40.0,16.9,Herbs and Aromatic Plants
4.0,38.0,8.3,Berries and Evergreens
4.0,31.0,7.3,Berries and Evergreens
6.4,33.0,11.8,Leafy Greens and Root Vegetables
6.4,37.0,11.4,Leafy Greens and Root Vegetables
6.4,54.0,12.4,Leafy Greens and Root Vegetables
6.4,53.0,11.4,Leafy Greens and Root Vegetables
6.4,40.0,12.2,Leafy Greens and Root Vegetables
6.4,32.0,10.6,Leafy Greens and Root Vegetables
5.0,31.0,9.2,Berries and Evergreens
7.9,58.0,16.7,Herbs and Aromatic Plants
7.0,56.0,25.3,Warm-Season Fruits and Vegetables
6.7,48.0,28.6,Warm-Season Fruits and Vegetables
7.0,41.0,27.7,Warm-Season Fruits and Vegetables
7.0,51.0,26.6,Warm-Season Fruits and Vegetables
7.5,22.0,32.1,Drought-Resistant Plants
5.1,25.0,9.2,Berries and Evergreens
5.0,26.0,5.3,Berries and Evergreens
4.0,20.0,7.0,Berries and Evergreens
5.5,22.0,2.7,Berries and Evergreens
5.5,32.0,5.2,Berries and Evergreens
5.5,29.0,5.8,Berries and Evergreens
7.7,40.0,18.8,Herbs and Aromatic Plants
7.2,58.0,29.0,Warm-Season Fruits and Vegetables
6.0,70.0,26.7,Tropical and Wetland Plants
7.0,40.0,25.8,Warm-Season Fruits and Vegetables
6.3,33.0,17.5,Leafy Greens and Root Vegetables
7.0,44.0,18.3,Herbs and Aromatic Plants
7.5,52.0,23.9,Warm-Season Fruits and Vegetables
7.3,70.0,28.8,Warm-Season Fruits and Vegetables
6.9,65.0,26.4,Warm-Season Fruits and Vegetables
7.1,60.0,21.4,Warm-Season Fruits and Vegetables
7.0,68.0,28.1,Warm-Season Fruits and Vegetables
7.0,68.0,29.3,Warm-Season Fruits and Vegetables
7.2,67.0,28.2,Warm-Season Fruits and Vegetables
6.6,64.0,26.4,Warm-Season Fruits and Vegetables
7.5,66.0,22.7,Warm-Season Fruits and Vegetables
7.0,58.0,24.9,Warm-Season Fruits and Vegetables
7.4,60.0,24.4,Warm-Season Fruits and Vegetables
6.9,68.0,25.4,Warm-Season Fruits and Vegetables
6.8,67.0,28.3,Warm-Season Fruits and Vegetables
7.2,45.1,20.8,Warm-Season Fruits and Vegetables
6.7,45.1,22.2,Warm-Season Fruits and Vegetables
6.7,45.1,24.2,Warm-Season Fruits and Vegetables
6.0,31.4,14.7,Leafy Greens and Root Vegetables
6.0,55.8,14.7,Leafy Greens and Root Vegetables
7.3,56.9,21.2,Warm-Season Fruits and Vegetables
8.0,49.8,17.2,Herbs and Aromatic Plants
6.0,59.0,16.2,Leafy Greens and Root Vegetables
7.0,76.0,27.3,Tropical and Wetland Plants
7.0,68.0,25.9,Warm-Season Fruits and Vegetables
6.0,71.0,25.9,Tropical and Wetland Plants
7.0,81.0,26.1,Tropical and Wetland Plants
6.3,58.0,13.4,Leafy Greens and Root Vegetables
7.0,58.0,25.3,Warm-Season Fruits and Vegetables
7.0,53.0,17.9,Herbs and Aromatic Plants
7.4,58.0,21.6,Warm-Season Fruits and Vegetables
7.3,60.0,25.3,Warm-Season Fruits and Vegetables
5.6,53.0,14.7,Leafy Greens and Root Vegetables
7.9,28.0,30.4,Drought-Resistant Plants
7.8,40.0,18.5,Herbs and Aromatic Plants
7.4,55.0,24.5,Warm-Season Fruits and Vegetables
6.8,58.0,27.2,Warm-Season Fruits and Vegetables
6.9,49.0,29.9,Warm-Season Fruits and Vegetables
7.5,48.0,25.7,Warm-Season Fruits and Vegetables
7.7,57.0,23.4,Herbs and Aromatic Plants
7.3,55.0,19.5,Herbs and Aromatic Plants
6.6,52.0,23.8,Warm-Season Fruits and Vegetables
6.7,47.0,24.8,Warm-Season Fruits and Vegetables
6.0,60.0,14.0,Leafy Greens and Root Vegetables
7.7,57.0,18.0,Herbs and Aromatic Plants
6.4,47.0,13.6,Leafy Greens and Root Vegetables
6.4,40.0,10.0,Leafy Greens and Root Vegetables
6.0,47.0,12.0,Leafy Greens and Root Vegetables
6.0,54.0,12.0,Leafy Greens and Root Vegetables
6.4,53.0,10.0,Leafy Greens and Root Vegetables
6.6,53.0,25.0,Warm-Season Fruits and Vegetables
6.9,46.0,25.0,Warm-Season Fruits and Vegetables
7.3,52.0,26.0,Warm-Season Fruits and Vegetables
7.3,53.0,17.0,Herbs and Aromatic Plants
7.8,52.0,17.0,Herbs and Aromatic Plants
7.0,48.0,16.0,Herbs and Aromatic Plants
5.7,52.0,15.0,Leafy Greens and Root Vegetables
7.1,53.0,20.0,Warm-Season Fruits and Vegetables
7.0,51.0,23.0,Warm-Season Fruits and Vegetables
5.7,44.0,15.0,Leafy Greens and Root Vegetables
6.7,47.0,23.0,Warm-Season Fruits and Vegetables
6.0,34.0,17.0,Leafy Greens and Root Vegetables
7.5,50.0,19.0,Herbs and Aromatic Plants
6.6,57.0,24.0,Warm-Season Fruits and Vegetables
8.0,22.0,30.0,Drought-Resistant Plants
8.0,35.0,35.0,Drought-Resistant Plants
8.0,34.0,36.0,Drought-Resistant Plants
8.0,40.0,34.0,Drought-Resistant Plants
9.0,40.0,30.0,Drought-Resistant Plants
6.5,39.0,15.0,Leafy Greens and Root Vegetables
7.2,59.0,19.0,Herbs and Aromatic Plants
7.2,48.0,24.0,Warm-Season Fruits and Vegetables
7.2,69.0,22.0,Warm-Season Fruits and Vegetables
6.8,59.5,28.0,Warm-Season Fruits and Vegetables
6.6,66.0,28.0,Warm-Season Fruits and Vegetables
6.9,65.0,27.0,Warm-Season Fruits and Vegetables
7.1,65.0,28.0,Warm-Season Fruits and Vegetables
7.5,51.0,27.0,Warm-Season Fruits and Vegetables
7.1,53.0,28.0,Warm-Season Fruits and Vegetables
6.0,73.0,26.0,Tropical and Wetland Plants
6.7,57.0,23.0,Warm-Season Fruits and Vegetables
6.6,59.0,23.0,Warm-Season Fruits and Vegetables
6.8,62.0,23.0,Warm-Season Fruits and Vegetables
7.3,47.0,23.0,Warm-Season Fruits and Vegetables
7.2,49.0,26.0,Warm-Season Fruits and Vegetables
7.5,59.0,25.0,Warm-Season Fruits and Vegetables
7.5,64.0,25.0,Warm-Season Fruits and Vegetables
7.2,63.0,23.0,Warm-Season Fruits and Vegetables
7.8,60.0,25.0,Herbs and Aromatic Plants
6.6,63.0,22.0,Warm-Season Fruits and Vegetables
6.6,69.0,21.0,Warm-Season Fruits and Vegetables
7.8,39.0,30.0,Drought-Resistant Plants
6.9,70.0,31.1,Tropical and Wetland Plants
6.7,63.0,28.8,Warm-Season Fruits and Vegetables
7.0,70.0,32.5,Tropical and Wetland Plants
8.8,29.0,34.0,Drought-Resistant Plants
7.5,42.0,28.0,Warm-Season Fruits and Vegetables
7.0,44.0,27.0,Warm-Season Fruits and Vegetables
7.4,43.0,28.0,Warm-Season Fruits and Vegetables
6.6,63.0,28.0,Warm-Season Fruits and Vegetables
6.1,88.0,28.0,Tropical and Wetland Plants
6.7,69.0,28.0,Warm-Season Fruits and Vegetables
6.9,60.0,25.0,Warm-Season Fruits and Vegetables
7.2,54.0,25.0,Warm-Season Fruits and Vegetables
7.0,42.0,26.0,Warm-Season Fruits and Vegetables
7.0,43.0,25.0,Warm-Season Fruits and Vegetables
7.0,82.0,35.0,Tropical and Wetland Plants
7.7,22.0,33.0,Drought-Resistant Plants
7.7,30.0,33.0,Drought-Resistant Plants
8.0,27.0,33.0,Drought-Resistant Plants
8.7,21.0,32.0,Drought-Resistant Plants
8.8,22.0,32.0,Drought-Resistant Plants
8.2,22.0,32.0,Drought-Resistant Plants
8.2,37.0,32.0,Drought-Resistant Plants
8.9,32.0,31.0,Drought-Resistant Plants
8.2,20.0,31.0,Drought-Resistant Plants
8.6,31.0,34.0,Drought-Resistant Plants
8.4,37.0,34.0,Drought-Resistant Plants
8.4,34.0,32.0,Drought-Resistant Plants
8.9,36.0,33.0,Drought-Resistant Plants
9.0,39.0,32.0,Drought-Resistant Plants
9.0,26.0,32.0,Drought-Resistant Plants
8.2,33.0,32.0,Drought-Resistant Plants
7.9,31.0,32.0,Drought-Resistant Plants
7.8,35.0,32.0,Drought-Resistant Plants
7.6,33.0,32.0,Drought-Resistant Plants
6.8,84.0,28.0,Tropical and Wetland Plants
5.7,55.0,19.0,Leafy Greens and Root Vegetables
7.8,40.0,16.0,Herbs and Aromatic Plants
4.0,34.0,0.3,Berries and Evergreens
6.5,39.0,11.0,Leafy Greens and Root Vegetables
5.5,39.5,9.0,Berries and Evergreens
7.0,43.0,15.0,Herbs and Aromatic Plants
7.3,42.0,15.0,Herbs and Aromatic Plants
6.0,39.0,11.0,Leafy Greens and Root Vegetables
6.9,60.0,23.0,Warm-Season Fruits and Vegetables
5.8,60.0,13.0,Leafy Greens and Root Vegetables
6.0,45.0,16.0,Leafy Greens and Root Vegetables
5.3,20.0,6.0,Berries and Evergreens
5.0,24.0,6.0,Berries and Evergreens
5.5,21.0,4.0,Berries and Evergreens
4.8,22.0,9.8,Berries and Evergreens
5.0,21.0,8.0,Berries and Evergreens
4.7,22.0,7.0,Berries and Evergreens
4.8,22.0,0.0,Berries and Evergreens
4.8,21.0,2.0,Berries and Evergreens
5.3,34.7,8.0,Berries and Evergreens
6.2,48.5,12.0,Leafy Greens and Root Vegetables
5.4,23.7,1.0,Berries and Evergreens
7.2,53.7,17.0,Herbs and Aromatic Plants
7.3,44.7,15.0,Herbs and Aromatic Plants
6.0,37.0,14.0,Leafy Greens and Root Vegetables
5.0,31.0,7.7,Berries and Evergreens
5.0,25.0,3.0,Berries and Evergreens
6.5,72.0,28.8,Tropical and Wetland Plants
6.7,49.0,26.5,Warm-Season Fruits and Vegetables
6.7,72.0,26.5,Tropical and Wetland Plants
6.5,79.0,26.8,Tropical and Wetland Plants
6.4,71.0,31.4,Tropical and Wetland Plants
6.5,71.0,26.8,Tropical and Wetland Plants
8.9,40.0,36.7,Drought-Resistant Plants
7.8,51.0,19.9,Herbs and Aromatic Plants
7.0,44.0,22.7,Warm-Season Fruits and Vegetables
7.5,51.0,16.4,Herbs and Aromatic Plants
6.0,48.0,16.4,Leafy Greens and Root Vegetables
6.0,59.0,16.4,Leafy Greens and Root Vegetables
7.7,40.0,20.3,Herbs and Aromatic Plants
7.9,47.0,22.4,Herbs and Aromatic Plants
7.9,52.0,20.0,Herbs and Aromatic Plants
7.4,63.0,29.0,Warm-Season Fruits and Vegetables
7.6,53.0,23.0,Herbs and Aromatic Plants
7.4,55.0,30.0,Warm-Season Fruits and Vegetables
7.8,48.0,17.0,Herbs and Aromatic Plants
8.1,40.0,32.0,Drought-Resistant Plants
7.2,50.0,23.0,Warm-Season Fruits and Vegetables
7.2,40.0,23.0,Warm-Season Fruits and Vegetables
6.7,40.0,30.0,Warm-Season Fruits and Vegetables
6.8,50.0,24.0,Warm-Season Fruits and Vegetables
8.0,42.0,24.0,Herbs and Aromatic Plants
7.0,40.0,24.0,Warm-Season Fruits and Vegetables
7.0,40.0,24.0,Warm-Season Fruits and Vegetables
6.9,60.0,26.0,Warm-Season Fruits and Vegetables
6.6,49.0,26.0,Warm-Season Fruits and Vegetables
8.0,28.0,30.0,Drought-Resistant Plants
7.5,35.0,33.0,Drought-Resistant Plants
7.5,29.0,33.0,Drought-Resistant Plants
7.8,38.0,36.0,Drought-Resistant Plants
7.8,36.0,39.0,Drought-Resistant Plants
8.4,31.0,37.0,Drought-Resistant Plants
8.4,31.0,38.0,Drought-Resistant Plants
9.0,20.0,35.0,Drought-Resistant Plants
7.1,48.0,27.0,Warm-Season Fruits and Vegetables
8.3,28.0,32.0,Drought-Resistant Plants
7.8,40.0,33.0,Drought-Resistant Plants
8.3,39.0,33.0,Drought-Resistant Plants
7.0,60.0,28.0,Warm-Season Fruits and Vegetables
7.0,46.0,28.0,Warm-Season Fruits and Vegetables
7.3,44.0,29.0,Warm-Season Fruits and Vegetables
7.0,41.0,28.0,Warm-Season Fruits and Vegetables
8.1,34.0,31.0,Drought-Resistant Plants
7.0,53.0,27.0,Warm-Season Fruits and Vegetables
6.0,53.0,20.0,Leafy Greens and Root Vegetables
6.5,50.0,20.0,Leafy Greens and Root Vegetables
7.0,61.0,20.0,Warm-Season Fruits and Vegetables
8.0,42.0,24.0,Herbs and Aromatic Plants
6.6,49.0,29.0,Warm-Season Fruits and Vegetables
6.6,42.0,24.0,Warm-Season Fruits and Vegetables
6.7,42.0,20.0,Warm-Season Fruits and Vegetables
7.5,37.0,30.0,Drought-Resistant Plants
7.8,35.0,31.0,Drought-Resistant Plants
8.6,35.0,30.0,Drought-Resistant Plants
8.4,24.0,30.0,Drought-Resistant Plants
7.5,33.0,33.0,Drought-Resistant Plants
8.1,36.0,33.0,Drought-Resistant Plants
7.9,36.0,33.0,Drought-Resistant Plants
5.5,22.0,3.2,Berries and Evergreens
5.0,33.0,7.2,Berries and Evergreens
6.3,37.0,17.0,Leafy Greens and Root Vegetables
6.3,37.0,20.0,Leafy Greens and Root Vegetables
6.5,59.0,14.0,Leafy Greens and Root Vegetables
5.9,39.0,18.0,Leafy Greens and Root Vegetables
6.0,59.0,15.0,Leafy Greens and Root Vegetables
6.0,59.0,14.0,Leafy Greens and Root Vegetables
6.5,41.0,16.0,Leafy Greens and Root Vegetables
6.5,31.0,16.0,Leafy Greens and Root Vegetables
6.5,31.0,13.0,Leafy Greens and Root Vegetables
5.0,27.6,10.0,Berries and Evergreens
5.0,20.0,10.0,Berries and Evergreens
6.0,34.0,11.0,Leafy Greens and Root Vegetables
6.5,34.0,12.0,Leafy Greens and Root Vegetables
6.5,40.0,10.0,Leafy Greens and Root Vegetables
5.2,35.9,0.0,Berries and Evergreens
8.0,40.0,19.0,Herbs and Aromatic Plants
4.5,29.0,10.0,Berries and Evergreens
6.7,40.0,30.0,Warm-Season Fruits and Vegetables
7.2,40.0,28.0,Warm-Season Fruits and Vegetables
8.6,30.0,31.0,Drought-Resistant Plants
7.5,20.0,32.0,Drought-Resistant Plants
7.8,22.0,30.0,Drought-Resistant Plants
4.5,39.0,7.3,Berries and Evergreens
4.8,36.0,3.5,Berries and Evergreens
8.0,49.0,23.5,Herbs and Aromatic Plants
7.5,49.0,28.0,Warm-Season Fruits and Vegetables
8.0,41.0,17.6,Herbs and Aromatic Plants
5.8,41.0,19.6,Leafy Greens and Root Vegetables
7.0,44.0,23.3,Warm-Season Fruits and Vegetables
6.0,57.0,19.9,Leafy Greens and Root Vegetables
8.0,57.0,20.6,Herbs and Aromatic Plants
8.0,49.0,22.5,Herbs and Aromatic Plants
5.7,47.0,13.7,Leafy Greens and Root Vegetables
7.4,48.0,24.0,Warm-Season Fruits and Vegetables
7.0,58.0,20.0,Warm-Season Fruits and Vegetables
7.2,66.0,23.0,Warm-Season Fruits and Vegetables
6.0,40.0,20.0,Leafy Greens and Root Vegetables
6.1,42.0,20.0,Leafy Greens and Root Vegetables
7.7,45.0,21.0,Herbs and Aromatic Plants
7.0,43.0,18.0,Herbs and Aromatic Plants
7.0,43.0,23.0,Warm-Season Fruits and Vegetables
6.5,37.0,19.0,Leafy Greens and Root Vegetables
6.5,41.0,20.0,Leafy Greens and Root Vegetables
7.2,41.0,19.0,Herbs and Aromatic Plants
7.5,41.0,16.0,Herbs and Aromatic Plants
7.4,40.0,23.0,Warm-Season Fruits and Vegetables
7.6,42.0,24.0,Herbs and Aromatic Plants
7.3,42.0,24.0,Warm-Season Fruits and Vegetables
7.6,59.0,25.0,Herbs and Aromatic Plants
8.0,59.0,24.0,Herbs and Aromatic Plants
7.6,45.0,22.0,Herbs and Aromatic Plants
7.3,45.0,22.0,Warm-Season Fruits and Vegetables
7.6,44.0,19.0,Herbs and Aromatic Plants
7.2,44.0,17.0,Herbs and Aromatic Plants
7.8,40.0,20.0,Herbs and Aromatic Plants
7.3,40.0,22.0,Warm-Season Fruits and Vegetables
7.7,40.0,19.0,Herbs and Aromatic Plants
7.8,40.0,22.0,Herbs and Aromatic Plants
7.3,67.0,20.0,Warm-Season Fruits and Vegetables
7.6,42.0,21.0,Herbs and Aromatic Plants
6.3,43.0,19.0,Leafy Greens and Root Vegetables
7.6,42.0,19.0,Herbs and Aromatic Plants
7.5,42.0,19.0,Herbs and Aromatic Plants
7.5,43.0,22.0,Warm-Season Fruits and Vegetables
7.5,43.0,19.0,Herbs and Aromatic Plants
7.3,48.0,28.1,Warm-Season Fruits and Vegetables
7.2,53.0,24.9,Warm-Season Fruits and Vegetables
6.6,46.0,21.9,Warm-Season Fruits and Vegetables
7.5,40.0,20.9,Warm-Season Fruits and Vegetables
7.0,40.0,20.7,Warm-Season Fruits and Vegetables
8.0,40.0,21.9,Herbs and Aromatic Plants
7.0,59.0,19.5,Herbs and Aromatic Plants
7.0,45.0,19.1,Herbs and Aromatic Plants
6.0,45.0,18.7,Leafy Greens and Root Vegetables
7.0,44.0,20.5,Warm-Season Fruits and Vegetables
7.0,44.0,20.6,Warm-Season Fruits and Vegetables
7.0,40.0,20.2,Warm-Season Fruits and Vegetables
